NAME,TBNAME,TBCREATOR
DEFINER,CHECKS,SYSCAT  
ENVSTRINGUNITS,CHECKS,SYSCAT  
FUNC_PATH,CHECKS,SYSCAT  
OWNER,CHECKS,SYSCAT  
OWNERTYPE,CHECKS,SYSCAT  
PERCENTVALID,CHECKS,SYSCAT  
QUALIFIER,CHECKS,SYSCAT  
TABNAME,CHECKS,SYSCAT  
TABSCHEMA,CHECKS,SYSCAT  
TEXT,CHECKS,SYSCAT  
TYPE,CHECKS,SYSCAT  
COLNAME,COLAUTH,SYSCAT  
COLNO,COLAUTH,SYSCAT  
GRANTABLE,COLAUTH,SYSCAT  
GRANTEE,COLAUTH,SYSCAT  
GRANTEETYPE,COLAUTH,SYSCAT  
GRANTOR,COLAUTH,SYSCAT  
GRANTORTYPE,COLAUTH,SYSCAT  
PRIVTYPE,COLAUTH,SYSCAT  
TABNAME,COLAUTH,SYSCAT  
TABSCHEMA,COLAUTH,SYSCAT  
COLNAME,COLCHECKS,SYSCAT  
CONSTNAME,COLCHECKS,SYSCAT  
TABNAME,COLCHECKS,SYSCAT  
TABSCHEMA,COLCHECKS,SYSCAT  
USAGE,COLCHECKS,SYSCAT  
COLNAME,COLDIST,SYSCAT  
COLVALUE,COLDIST,SYSCAT  
DISTCOUNT,COLDIST,SYSCAT  
SEQNO,COLDIST,SYSCAT  
TABNAME,COLDIST,SYSCAT  
TABSCHEMA,COLDIST,SYSCAT  
TYPE,COLDIST,SYSCAT  
VALCOUNT,COLDIST,SYSCAT  
COLGROUPID,COLGROUPCOLS,SYSCAT  
COLNAME,COLGROUPCOLS,SYSCAT  
ORDINAL,COLGROUPCOLS,SYSCAT  
TABNAME,COLGROUPCOLS,SYSCAT  
TABSCHEMA,COLGROUPCOLS,SYSCAT  
COLGROUPID,COLGROUPDIST,SYSCAT  
COLVALUE,COLGROUPDIST,SYSCAT  
ORDINAL,COLGROUPDIST,SYSCAT  
SEQNO,COLGROUPDIST,SYSCAT  
TYPE,COLGROUPDIST,SYSCAT  
COLGROUPID,COLGROUPDISTCOUNTS,SYSCAT  
DISTCOUNT,COLGROUPDISTCOUNTS,SYSCAT  
SEQNO,COLGROUPDISTCOUNTS,SYSCAT  
TYPE,COLGROUPDISTCOUNTS,SYSCAT  
VALCOUNT,COLGROUPDISTCOUNTS,SYSCAT  
COLGROUPCARD,COLGROUPS,SYSCAT  
COLGROUPID,COLGROUPS,SYSCAT  
COLGROUPNAME,COLGROUPS,SYSCAT  
COLGROUPSCHEMA,COLGROUPS,SYSCAT  
NUMFREQ_VALUES,COLGROUPS,SYSCAT  
NUMQUANTILES,COLGROUPS,SYSCAT  
CACHE,COLIDENTATTRIBUTES,SYSCAT  
COLNAME,COLIDENTATTRIBUTES,SYSCAT  
CYCLE,COLIDENTATTRIBUTES,SYSCAT  
INCREMENT,COLIDENTATTRIBUTES,SYSCAT  
MAXVALUE,COLIDENTATTRIBUTES,SYSCAT  
MINVALUE,COLIDENTATTRIBUTES,SYSCAT  
NEXTCACHEFIRSTVALUE,COLIDENTATTRIBUTES,SYSCAT  
ORDER,COLIDENTATTRIBUTES,SYSCAT  
SEQID,COLIDENTATTRIBUTES,SYSCAT  
START,COLIDENTATTRIBUTES,SYSCAT  
TABNAME,COLIDENTATTRIBUTES,SYSCAT  
TABSCHEMA,COLIDENTATTRIBUTES,SYSCAT  
COLLATIONNAME,COLLATIONS,SYSCAT  
COLLATIONSCHEMA,COLLATIONS,SYSCAT  
OWNER,COLLATIONS,SYSCAT  
OWNERTYPE,COLLATIONS,SYSCAT  
REMARKS,COLLATIONS,SYSCAT  
SOURCECOLLATIONNAME,COLLATIONS,SYSCAT  
SOURCECOLLATIONSCHEMA,COLLATIONS,SYSCAT  
COLNAME,COLOPTIONS,SYSCAT  
OPTION,COLOPTIONS,SYSCAT  
SETTING,COLOPTIONS,SYSCAT  
TABNAME,COLOPTIONS,SYSCAT  
TABSCHEMA,COLOPTIONS,SYSCAT  
AVGCOLLEN,COLUMNS,SYSCAT  
AVGCOLLENCHAR,COLUMNS,SYSCAT  
AVGDISTINCTPERPAGE,COLUMNS,SYSCAT  
AVGENCODEDCOLLEN,COLUMNS,SYSCAT  
CODEPAGE,COLUMNS,SYSCAT  
COLCARD,COLUMNS,SYSCAT  
COLLATIONNAME,COLUMNS,SYSCAT  
COLLATIONSCHEMA,COLUMNS,SYSCAT  
COLNAME,COLUMNS,SYSCAT  
COLNO,COLUMNS,SYSCAT  
COMPACT,COLUMNS,SYSCAT  
COMPRESS,COLUMNS,SYSCAT  
DEFAULT,COLUMNS,SYSCAT  
DL_FEATURES,COLUMNS,SYSCAT  
FUNC_PATH,COLUMNS,SYSCAT  
GENERATED,COLUMNS,SYSCAT  
HIDDEN,COLUMNS,SYSCAT  
HIGH2KEY,COLUMNS,SYSCAT  
IDENTITY,COLUMNS,SYSCAT  
IMPLICITVALUE,COLUMNS,SYSCAT  
INLINE_LENGTH,COLUMNS,SYSCAT  
KEYSEQ,COLUMNS,SYSCAT  
LENGTH,COLUMNS,SYSCAT  
LOGGED,COLUMNS,SYSCAT  
LOW2KEY,COLUMNS,SYSCAT  
NMOSTFREQ,COLUMNS,SYSCAT  
NQUANTILES,COLUMNS,SYSCAT  
NULLS,COLUMNS,SYSCAT  
NUMNULLS,COLUMNS,SYSCAT  
PAGEVARIANCERATIO,COLUMNS,SYSCAT  
PARTKEYSEQ,COLUMNS,SYSCAT  
PCTENCODED,COLUMNS,SYSCAT  
PCTINLINED,COLUMNS,SYSCAT  
QUALIFIER,COLUMNS,SYSCAT  
RANDDISTKEY,COLUMNS,SYSCAT  
REMARKS,COLUMNS,SYSCAT  
ROWBEGIN,COLUMNS,SYSCAT  
ROWCHANGETIMESTAMP,COLUMNS,SYSCAT  
